"Start.station.number","starthour","variable","value"
31046,17,"inflow",164
31046,18,"inflow",218
31046,19,"inflow",150
31046,20,"inflow",102
31046,21,"inflow",50
31046,22,"inflow",18
31046,23,"inflow",13
31047,0,"inflow",19
31047,1,"inflow",7
31047,2,"inflow",7
31047,3,"inflow",3
31047,4,"inflow",2
31047,5,"inflow",49
31047,6,"inflow",366
31047,7,"inflow",987
31047,8,"inflow",1191
31047,9,"inflow",681
31047,10,"inflow",308
31047,11,"inflow",340
31047,12,"inflow",355
31047,13,"inflow",253
31047,14,"inflow",188
31047,15,"inflow",261
31047,16,"inflow",471
31047,17,"inflow",1146
31047,18,"inflow",870
31047,19,"inflow",340
31047,20,"inflow",180
31047,21,"inflow",155
31047,22,"inflow",80
31047,23,"inflow",44
31048,0,"inflow",7
31048,1,"inflow",NA
31048,2,"inflow",6
31048,3,"inflow",2
31048,4,"inflow",5
31048,5,"inflow",46
31048,6,"inflow",95
31048,7,"inflow",177
31048,8,"inflow",397
31048,9,"inflow",311
31048,10,"inflow",119
31048,11,"inflow",79
31048,12,"inflow",88
31048,13,"inflow",95
31048,14,"inflow",101
31048,15,"inflow",116
31048,16,"inflow",221
31048,17,"inflow",374
31048,18,"inflow",277
31048,19,"inflow",183
31048,20,"inflow",154
31048,21,"inflow",96
